,name,forks,stars,watchers,subscribers
1067,yeroslaviz/bcfngs_Mapping_automation,0,0,0,1
1068,vrmarcelino/MetaModels,0,0,0,1
1069,maxsonBraunLab/hint-atac-old,0,0,0,4
1070,MaevaTecher/varroa-host-jump,1,0,0,2
1071,benpkeith/Furey-Lab-RNA-seq,0,0,0,1
1072,mw55309/MAGCloudCosts,0,0,0,3
1073,mw55309/MAGCloudCosts,0,0,0,3
1074,pjedge/SISSOR,1,0,0,3
1075,sylvainschmitt/snakemake_singularity,0,0,0,1
1076,bioinf/russian_exome_pipeline,0,3,3,3
1077,alexhbnr/ONTseq_QC,0,0,0,1
1078,lachlandeer/angrist-krueger-1991,1,3,3,1
1079,sidiropoulos/TCGAsnake,0,0,0,2
1080,aryarm/str_ase,0,1,1,1
1081,lch14forever/gis_minion_basecall,0,0,0,1
1082,veerdonk/data_processing,0,0,0,1
1083,percyfal/pytest-ngsfixtures,2,7,7,0
1084,BackofenLab/SalamiSnake,2,3,3,2
1085,PEDIA-Charite/PEDIA-workflow,9,5,5,4
1086,liulab-dfci/CHIPS,3,12,12,2
1087,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
1088,daler/chromhmm-enhancers-umel,1,2,2,2
1089,liulab-dfci/CHIPS,3,12,12,2
1090,NCBR-FNLCR/Long-read-genome-assembly,2,0,0,2
1091,sraorao/snakemake_code_clinic_2,0,2,2,2
1092,Kirovez/NanoCasTE,0,0,0,2
1093,troyrowan/imputation-pipeline,0,0,0,1
1094,wfondrie/snakemake-beer-proteomics,1,0,0,1
1095,AAFC-BICoE/snakemake-mothur,1,9,9,4
1096,kmgibson/FONTANA,2,0,0,0
1097,ksw9/mtb_pipeline,0,1,1,2
1098,Mira0507/snakemake_alignment,0,0,0,1
1099,razielar/Identification-of-de-novo-lncRNA-genes,0,0,0,0
1100,fcarelli/glre,0,0,0,1
1101,sapfo/medeas,0,2,2,5
1102,Miachol/hamlet,0,0,0,2
1103,Miachol/hamlet,0,0,0,2
1104,jmonlong/pangenome-evaluation,0,9,9,4
1105,vodkatad/snakegatk,0,1,1,1
1106,oskarvid/snakemake-intro,1,0,0,1
1107,nextstrain/mers-beast-tutorial,3,2,2,5
1108,Marc-Ruebsam/MeBaPiNa,0,0,0,2
1109,jfear/ncbi_remap,0,1,1,4
1110,liluacrobat/Shotgun_inStrain,0,0,0,1
1111,bioxfu/RNA-Seq,2,4,4,2
1112,liulab-dfci/CHIPS,3,12,12,2
1113,liluacrobat/Shotgun_inStrain,0,0,0,1
1114,sztankatt/brandeis-secondment,0,0,0,1
1115,arushiv/gwas_NHGRI,0,0,0,2
1116,letaylor/snakemake-qtl,2,5,5,1
1117,sebpott/dropseq_pipeline,0,0,0,4
1118,ucvm/vmmp,1,3,3,2
1119,fieldima/biof501-pipeline,0,0,0,1
1120,andnischneider/its_workflow,3,1,1,0
1121,liluacrobat/Shotgun_inStrain,0,0,0,1
1122,LUMC/HAMLET,3,3,3,3
1123,snystrom/cutNrun-pipeline,6,1,1,2
1124,CGI-stLFR/CGI_de_novo_real_Pipeline_no_seed,1,0,0,2
1125,vodkatad/WXS_SNV,0,0,0,2
1126,schanbaek/eif3_par-clip,0,0,0,1
1127,mydennislab/snake-fastcn,0,0,0,3
1128,bhattlab/bhattlab_workflows,12,35,35,10
1129,jbloomlab/SARS-CoV-2-RBD_MAP_HAARVI_sera,1,9,9,4
1130,mw55309/MAGCloudCosts,0,0,0,3
1131,mirand863/ganon_cami2,0,1,1,1
1132,desireetillo/CTCF_CutAndRun21,0,0,0,1
1133,Oncostat/BenchmarkNCVTools,1,4,4,2
1134,mydennislab/snake-chipseq,0,0,0,3
1135,csoeder/VolkanLab_BehaviorGenetics,0,0,0,2
1136,petercombs/dicty,1,0,0,1
1137,elliekpursey/crispr-pathogens,0,0,0,1
1138,jbloomlab/SARS-CoV-2-RBD_MAP_COV2-2955,0,0,0,1
1139,allydunham/foldx_interface_ddg,0,1,1,1
1140,futureprof2/artic-noro,0,0,0,0
1141,troyrowan/imputation-pipeline,0,0,0,1
1142,cErikson/GeneLab_DADA2_snakemake_Pipeline,0,0,0,0
1143,rm93/Awesome-Workflow,0,0,0,1
1144,songlab-cal/scquint,0,1,1,3
1145,liulab-dfci/CHIPS,3,12,12,2
1146,dilworthlab/CnT_pipeline_snakemake,0,0,0,3
1147,sztankatt/brandeis-secondment,0,0,0,1
1148,vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome,3,2,2,2
1149,tanaes/snakemake_shotqual,3,1,1,3
1150,UvA-MAD/NGS-pipelines,1,0,0,4
1151,jhavensHMC/sciATAC,0,0,0,0
1152,pmenzel/ont-assembly-snake,0,5,5,1
1153,WatsonLab/GoogleMAGs,2,1,1,3
1154,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
1155,Miachol/hamlet,0,0,0,2
1156,alexzaccaron/2021_pms_mt,0,0,0,1
1157,drdariarago/organoids-probio,0,0,0,1
1158,Hajibabaei-Lab/SCVUC_COI_metabarcode_pipeline,1,1,1,2
1159,SamStudio8/reticulatus,5,61,61,7
1160,dbrg77/plate_scATAC-seq,14,38,38,5
1161,chrishah/prepro,0,1,1,1
1162,davidlevybooth/Rhodococcus_Transcriptomics,0,1,1,2
1163,liluacrobat/Shotgun_inStrain,0,0,0,1
1164,pkozyulina/pea2018_pipeline,0,0,0,0
1165,caltech-bioinformatics-resource-center/Guttman_Ismagilov_Labs,1,5,5,2
1166,rasilab/ribosome_collisions_yeast,1,0,0,4
1167,UvA-MAD/NGS-pipelines,1,0,0,4
1168,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
1169,Shmuppel/diagnostic-genome-analysis,0,0,0,1
1170,inodb/2014-09-haspeborg-moose-project,0,0,0,1
1171,agata-sm/5433_read_processing_pipelines,0,0,0,1
1172,colinshew/multi-genome_oligo_design,0,0,0,1
1173,nluhmann/AGapEs,1,1,1,2
1174,bhattlab/lathe,14,52,52,7
1175,UMich-Mind-Lab/pipeline-resting-preproc,0,0,0,2
1176,williamjeong2/snakemake_RNA-seq,0,0,0,0
1177,PEDIA-Charite/PEDIA-workflow,9,5,5,4
1178,kkchau/RNAseq_Pipeline,2,2,2,2
1179,Finn-Lab/MAG_Snakemake_wf,10,36,36,4
1180,davemcg/NGS_genotype_calling,3,1,1,2
1181,AlexanderMoerseburg/ATAC-Seq,0,0,0,0
1182,alexzaccaron/2021_enec_mt,0,0,0,1
1183,bhattlab/bhattlab_workflows,12,35,35,10
1184,inodb/2014-05-mdopson-viral,0,0,0,1
1185,pawel125/RNAseq_hpc_workflow,0,0,0,1
1186,silastittes/abc_maize,0,0,0,1
1187,penglbio/RNA_Seq,0,0,0,1
1188,nextstrain/rsv,5,0,0,9
1189,gradlab/lsarp_gwas,1,0,0,1
1190,mgalland/neurofjacobs,3,0,0,1
1191,mw55309/MAGCloudCosts,0,0,0,3
1192,dbrg77/scATAC_snakemake,4,11,11,3
1193,mw55309/MAGCloudCosts,0,0,0,3
1194,natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly,0,0,0,1
1195,dfguan/vcpipe,0,3,3,2
1196,abdeljalil-senhaji/DNAMethBS_pipeline,0,1,1,1
1197,mgildea87/RNAseq_PE,0,1,1,1
1198,TheFraserLab/Agoglia_HumanChimpanzee2020,0,5,5,4
1199,cmkobel/assemblycomparator2,1,3,3,2
1200,csoneson/ARMOR,29,134,134,13
1201,shu251/qc-trim,0,1,1,1
1202,skingan/gc_cov_2,0,0,0,1
1203,aryarm/motif_check,0,0,0,1
1204,LUMC/HAMLET,3,3,3,3
1205,wsteenhu/demux-snakemake,0,0,0,1
1206,kauralasoo/macrophage-tuQTLs,2,1,1,4
1207,openbiome/donors-16s,0,0,0,1
1208,deto/Snakemake_Tutorial,9,23,23,3
1209,mumichae/backsplice_code,0,0,0,2
1210,MostafaYA/SnakePipelines,0,1,1,1
1211,jimkwon/nar2020,0,0,0,1
1212,nextstrain/mumps,5,2,2,17
1213,mzapatka/p-dip,2,5,5,1
1214,openbiome/donor-effects,0,0,0,2
1215,WatsonLab/GoogleMAGs,2,1,1,3
1216,seung1yoo/getMappedRawReads,0,0,0,1
1217,hennlab/AS-IBDNe,0,1,1,1
1218,theislab/bartseq-pipeline,3,2,2,3
1219,eanbit-rt/ReproducibleResearch,4,0,0,2
1220,halexand/BUSCO-MAG-Phylogeny,1,1,1,1
1221,filcfig/PCP,0,0,0,3
1222,maxsonBraunLab/cutAndQC---old,0,0,0,4
1223,NielInfante/RNAseq_snakemake,0,0,0,1
1224,eanbit-rt/ReproducibleResearch,4,0,0,2
1225,jbloomlab/SARS-CoV-2-RBD_MAP_minibinders,0,0,0,1
1226,windyeeeee/RNA-seq,0,0,0,1
1227,bioinformatics-leibniz-hki/DAnIEL,1,1,1,2
1228,mwcrepeau/snakemake_kubernetes_test,0,0,0,1
1229,blab/cartography,1,1,1,5
1230,c2-d2/rase-pipeline,0,5,5,3
1231,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
1232,maxlcummins/pipelord,1,3,3,3
1233,Mayrlab/scUTRquant,0,1,1,1
1234,SherineAwad/ATAC-Seq,0,0,0,1
1235,linsalrob/atavide,0,2,2,2
1236,alexpcheng/bisulfite_cfDNA,3,4,4,0
1237,simakro/smk-artic-ont,0,0,0,1
1238,kkkaslikar/variant-calling-pipeline,0,0,0,1
1239,MarescaLab/genome_pipeline,0,0,0,1
1240,JessAwBryant/qiime_with_snakemake,1,0,0,1
1241,blab/cartography,1,1,1,5
1242,bhattlab/bhattlab_workflows,12,35,35,10
1243,aisakova/smart-seq-total,1,4,4,1
1244,lculibrk/canseq_pipeline,0,0,0,0
1245,liluacrobat/Shotgun_inStrain,0,0,0,1
1246,thomasbtf/hello-diamond,0,0,0,1
1247,althonos/annotate.Snakefile,1,2,2,1
1248,seb-mueller/snakemake-bisulfite,0,3,3,1
1249,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
1250,dfloresDIL/MEGA,0,1,1,0
1251,haneylab/assembly_pipeline,0,0,0,1
1252,tkanholm/snakemake_pipelines,0,0,0,1
1253,bhattlab/bhattlab_workflows,12,35,35,10
1254,rmtsoa/ont_tutorial_pinfish,0,1,1,1
1255,bhaddow/pmindia-crawler,2,11,11,2
1256,Shmuppel/diagnostic-genome-analysis,0,0,0,1
