,contributor,nb_wf,list_wf
859,biggstd,3,"{'biggstd/nf-core-gsfworkflow', 'SystemsGenetics/GEMmaker', 'mmcogle/GEMmakerCam'}"
860,marcelm,3,"{'sickle-in-africa/saw.structural-variants', 'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO'}"
218,tiagochst,3,"{'nf-core/chipseq', 'jiangfuqing/Chip-seq', 'markgene/cutnrun'}"
529,pallolason,3,"{'sickle-in-africa/saw.structural-variants', 'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO'}"
1055,alexcorm,3,"{'alexcorm/quick_phylo_BUSCO', 'ifremer-bioinformatics/samba', 'ifremer-bioinformatics/pallor'}"
958,rivera10,3,"{'Aveglia/vAMPirus', 'PalMuc/TransPi', 'nf-core/bacass'}"
758,avantonder,3,"{'nf-core/modules', 'avantonder/assembleBAC', 'nf-core/bactmap'}"
792,likelet,3,"{'likelet/circPipe', 'canceromics/MeRIPseqPipe', 'likelet/MesKit'}"
442,nebfield,3,"{'PGScatalog/pgsc_calc', 'nebfield/snpQT', 'nf-core/modules'}"
994,AlfredUg,3,"{'galaxyuvri-ea/UvriMetaSeq', 'galaxyuvri-ea/qiime2-pipeline', 'AlfredUg/QuasiFlow'}"
603,PiscatorX,3,"{'PiscatorX/videre-pipeline', 'PiscatorX/pool-ezRAD', 'PiscatorX/ezRAD-Pool-seq'}"
87,kojix2,3,"{'nf-core/modules', 'kojix2/simple_mixcr_nextflow', 'CRG-CNAG/CalliNGS-NF'}"
148,bschiffthaler,3,"{'bschiffthaler/nf-radseq', 'bschiffthaler/nf-modules', 'bschiffthaler/nf-pseudopipe'}"
523,erinyoung,3,"{'UPHL-BioNGS/Grandeur', 'UPHL-BioNGS/Donut_Falls', 'UPHL-BioNGS/Cecret'}"
88,evagradovich,3,"{'lifebit-ai/metagwas', 'lifebit-ai/prs', 'lifebit-ai/phewas'}"
144,rpetit3,3,"{'nf-core/modules', 'CDCgov/mycosnp-nf', 'bactopia/bactopia'}"
395,hknahal,3,"{'icgc-argo-workflows/sanger-wgs-variant-calling', 'icgc-argo-workflows/sanger-wxs-variant-calling', 'icgc-argo-workflows/dna-seq-processing-wfs'}"
745,c-guzman,3,"{'heinzlab/chip-seq-pipeline', 'heinzlab/smrna-seq-pipeline', 'heinzlab/csrna'}"
700,jackmo375,3,"{'sickle-in-africa/saw.structural-variants', 'sickle-in-africa/saw.snv-indel', 'sickle-in-africa/saw.sarek'}"
6,winni2k,3,"{'nf-core/chipseq', 'jiangfuqing/Chip-seq', 'markgene/cutnrun'}"
79,loipf,3,"{'loipf/SOMvc-pipeline', 'loipf/DNAseq-pipeline', 'loipf/DNAsmash-pipeline'}"
613,lengfei5,3,"{'lengfei5/atacseq_nf', 'lengfei5/nf_visium_kallisto', 'lengfei5/smallRNA_nf'}"
825,kaurravneet4123,3,"{'nibscbioinformatics/nf-core-viralevo', 'nibscbioinformatics/nf-core-conva', 'nf-core/modules'}"
898,edgano,3,"{'edgano/C3G_longRead2020', 'edgano/TCoffee-NatureProtocol-nf', 'edgano/nf_phylo3D'}"
297,vpeddu,3,"{'vpeddu/ev-meta', 'michellejlin/covid_swift_pipeline', 'vpeddu/Slowqc'}"
495,chewbeckie,3,"{'chewbeckie/flye_ntedit_polish_graph_workflow', 'chewbeckie/Outbreak_EnrichmentCulture', 'chewbeckie/BacAss'}"
688,rbpisupati,3,"{'rbpisupati/nf-repeatexplorer', 'Gregor-Mendel-Institute/nf-methylpy', 'rbpisupati/nf-haplocaller'}"
500,annacprice,3,"{'nf-core/modules', 'oxfordmmm/preprocessing', 'annacprice/autodatabase'}"
1009,adomingues,3,"{'harleenduggal/RNASEQ', 'harleenduggal/nfcore-rnaseq', 'nf-core/rnaseq'}"
893,emnilsson,3,"{'nf-core/modules', 'nf-core/ampliseq', 'LNUc-EEMiS/metatdenovo'}"
810,Rotholandus,3,"{'nf-core/chipseq', 'jiangfuqing/Chip-seq', 'markgene/cutnrun'}"
508,kmayerb,3,"{'kmayerb/nf-corncob', 'kmayerb/nf-mixcr', 'kmayerb/knead-docker'}"
967,cschu,3,"{'zellerlab/vortex_light', 'zellerlab/gaga2', 'cschu/vortex_knight'}"
887,bentsherman,3,"{'mmcogle/GEMmakerCam', 'SystemsGenetics/GEMmaker', 'SystemsGenetics/KINC-nf'}"
714,LaurenceKuhl,3,"{'FriederikeHanssen/shrnacount', 'qbic-pipelines/vcreport', 'LaurenceKuhl/shrnacount'}"
965,candiceh08,3,"{'nf-core/modules', 'luslab/luslab-nf-modules', 'luslab/nf-clip'}"
635,jcurado-flomics,3,"{'rastiks/viralrecon', 'Flomics/joao-test', 'nf-core/viralrecon'}"
15,george-hall-ucl,3,"{'harleenduggal/RNASEQ', 'harleenduggal/nfcore-rnaseq', 'nf-core/rnaseq'}"
1034,drewjbeh,3,"{'lengfei5/atacseq_nf', 'nf-core/chipseq', 'nf-core/atacseq'}"
971,lepsalex,3,"{'icgc-argo-workflows/nextflow-data-processing-utility-tools', 'lepsalex/nextflow-pcawg-bwa-mem-workflow', 'icgc-argo-workflows/dna-seq-processing-wfs'}"
656,cimendes,3,"{'cimendes/metaFlow', 'imendes93/sv-nf', 'NCBI-Hackathons/Nasty_Metagenomes'}"
170,KevinSayers,3,"{'nextflow-io/nf-hack18', 'nextflow-io/nf-hack17-tutorial', 'tobsecret/BADAS_Nextflow_Tutorial'}"
807,tronbfxdev,3,"{'TRON-Bioinformatics/tronflow-mutect2', 'TRON-Bioinformatics/tronflow-bam-preprocessing', 'TRON-Bioinformatics/covigator-ngs-pipeline'}"
885,ImaneLboukili,3,"{'IARCbioinfo/qualimap-nf', 'IARCbioinfo/fastqc-nf', 'Monia234/IARC-fastqc'}"
379,drpowell,3,"{'harleenduggal/RNASEQ', 'harleenduggal/nfcore-rnaseq', 'nf-core/rnaseq'}"
73,BioinformaticsLabAtMUN,3,"{'BioinformaticsLabAtMUN/sRNACharP', 'BioinformaticsLabAtMUN/sRNACharP-sRNARanking', 'BioinformaticsLabAtMUN/sRNA-Detect'}"
706,alexandregilardet,3,"{'nf-core/modules', 'nf-core/bactmap', 'nf-core/eager'}"
808,tmuylder,3,"{'vibbits/nextflow-jnj', 'biocorecrg/ELIXIR_containers_nextflow', 'vibbits/chipseq-nextflow'}"
184,projectoriented,3,"{'nf-core/raredisease', 'genomic-medicine-sweden/RareDisease_RNA_workflow', 'nf-core/modules'}"
536,christopher-mohr,2,"{'nf-core/epitopeprediction', 'nf-core/hlatyping'}"
790,V-Catherine,2,"{'Monia234/IARC-alignement', 'IARCbioinfo/BQSR-nf'}"
544,a-lud,2,"{'danielyao12/Sanders-workflows', 'sagc-bioinformatics/modules'}"
484,WhalleyT,2,"{'WhalleyT/neoantigen_prediction', 'WhalleyT/RECIPIENT'}"
891,Tingvall,2,"{'Tingvall/macs2_idr', 'Tingvall/cutntag'}"
542,snafees,2,"{'nf-core/kmermaid', 'czbiohub/nf-unsplicedcds'}"
780,kaitlinchaung,2,"{'czbiohub/nf-sicilian', 'salzmanlab/ReadZS'}"
746,rernst,2,"{'UMCUGenetics/DxNextflowWES', 'UMCUGenetics/NextflowModules'}"
877,nschan,2,"{'Gregor-Mendel-Institute/aradeepopsis', 'phue/aradeepopsis'}"
749,pgonzale60,2,"{'tolkit/nemADSQ', 'pgonzale60/genokmer_hifi'}"
330,shyaman,2,"{'AgBC-UoP/mapNclean-nf', 'AgBC-UoP/seq-contamination-QC-nf'}"
323,BrunoGrandePhD,2,"{'UMCUGenetics/sarek_ubec', 'nf-core/sarek'}"
784,neevor,2,"{'czbiohub/sc2-illumina-pipeline', 'czbiohub/nextflow-tutorial-2019'}"
778,anfederico,2,"{'montilab/pipeliner-2', 'montilab/pipeliner'}"
318,Darcy220606,2,"{'nf-core/modules', 'nf-core/funcscan'}"
538,alexwhan,2,"{'csiro-crop-informatics/repset', 'csiro-crop-informatics/reproducible_poc'}"
308,angarb,2,"{'TheJacksonLaboratory/Star_indices', 'TheJacksonLaboratory/splicing-pipelines-nf'}"
818,bunop,2,"{'nf-core/modules', 'bunop/nextflow-training'}"
855,supark87,2,"{'supark87/prac_nextflow', 'supark87/minion_hrp2'}"
331,Jeremy1805,2,"{'nf-core/modules', 'Jeremy1805/nf-core-influenzangs'}"
665,phupe,2,"{'bioinfo-pf-curie/geniac-template', 'bioinfo-pf-curie/geniac-demo-dsl2'}"
440,AntoniaSchuster,2,"{'nf-core/modules', 'nf-core/mag'}"
378,JohnHadish,2,"{'mmcogle/GEMmakerCam', 'SystemsGenetics/GEMmaker'}"
512,tmc-hematopath,2,"{'tmc-hematopath/NextSeq_MIPS_NextflowMutationDetector', 'tmc-hematopath/smMIPS-Detection-Pipeline'}"
770,dthorburn,2,"{'dthorburn/Agam_Methylation', 'dthorburn/Genomic_Read_Processing'}"
386,gdevailly,2,"{'nf-core/methylseq', 'FAANG/GSM-pipeline'}"
435,palfalvi,2,"{'palfalvi/nanoporeseq', 'palfalvi/rnaseq'}"
835,kingzhuky,2,"{'ssun1116/meripseqpipe', 'kingzhuky/meripseqpipe'}"
393,ameintjes,2,"{'h3abionet/chipimputation_evaluate_chips', 'h3abionet/popfreqs'}"
507,ThamLe2601,2,"{'ThamLe2601/nextflow-rnaseq-modules', 'PI-Bioinfo/thamlee-nxf-rnaseq'}"
833,riederd,2,"{'icbi-lab/nextNEOpi', 'nf-core/modules'}"
399,reganhayward,2,"{'bhagesh-codebeast/nextflowdualrnaseq', 'nf-core/dualrnaseq'}"
829,dshafranskaya,2,"{'ablab/metaGT', 'ablab/graphamr'}"
431,didillysquat,2,"{'didillysquat/kopp_2021_fowl', 'didillysquat/yamada'}"
428,Gwennid,2,"{'nf-core/raredisease', 'nf-core/modules'}"
824,Lipinski-B,2,"{'IARCbioinfo/Imputation-nf', 'Monia234/IARC-imputation'}"
426,isugif,2,"{'isugifNF/freebayes', 'isugifNF/blast'}"
425,daichengxin,2,"{'bigbio/proteomicstmt', 'bigbio/quantms'}"
411,robinfchan,2,"{'robinfchan/citeseq-nf', 'robinfchan/bisulfite_align_nf'}"
413,trev-f,2,"{'trev-f/SRAlign', 'trev-f/SRAtac'}"
417,ellendejong,2,"{'UMCUGenetics/DxNextflowWES', 'UMCUGenetics/NextflowModules'}"
418,oxfordfun,2,"{'oxfordmmm/preprocessing', 'oxfordfun/FunSnippy'}"
516,dependabot[bot],2,"{'lifebit-ai/bam2cram', 'vib-singlecell-nf/vsn-pipelines'}"
375,sdjebali,2,"{'FAANG/analysis-TAGADA', 'nf-core/smrnaseq'}"
520,csawye01,2,"{'nf-core/nanoseq', 'csawye01/nf-core-demultiplex'}"
798,ignaciot,2,"{'nf-core/nascent', 'Dowell-Lab/Nascent-Flow'}"
751,Biocentric,2,"{'Biocentric/DeepVariantNF', 'Biocentric/rnaseq_debug'}"
870,KaiLiCn,2,"{'bzhanglab/DeepRescore', 'bzhanglab/neoflow'}"
337,lbarquist,2,"{'bhagesh-codebeast/nextflowdualrnaseq', 'nf-core/dualrnaseq'}"
796,phileastbioinf,2,"{'crickbabs/nextflow_toolbox', 'crickbabs/BABS-aDNASeq'}"
869,melferink,2,"{'UMCUGenetics/DxNextflowWES', 'UMCUGenetics/NextflowModules'}"
797,michellejlin,2,"{'michellejlin/covid_swift_pipeline', 'greninger-lab/demux'}"
343,mikek498,2,"{'mikek498/artic-gls', 'connor-lab/ncov2019-artic-nf'}"
531,MarieLataretu,2,"{'hoelzer/clean', 'replikation/poreCov'}"
530,kkerns85,2,"{'kkerns85/midas_nextflow', 'kkerns85/midas_nf_tower'}"
864,bleazard,2,"{'nibscbioinformatics/humgen', 'nibscbioinformatics/viralevo'}"
371,wenbostar,2,"{'bzhanglab/DeepRescore', 'bzhanglab/neoflow'}"
448,njspix,2,"{'nf-core/modules', 'njspix/ref_genomes'}"
355,dvolk,2,"{'tiwarialok/new-rnaseq', 'davideyre/bug-flow'}"
446,porchard,2,"{'porchard/ATACseq-NextFlow', 'porchard/RNAseq-NextFlow'}"
771,phoenixAja,2,"{'nf-core/kmermaid', 'czbiohub/nf-predictorthologs'}"
365,cnoel-sebimer,2,"{'ifremer-bioinformatics/samba', 'ifremer-bioinformatics/FLORA'}"
366,l-modolo,2,"{'LBMC/readthroughpombe', 'clemgoub/dnaPipeTE2'}"
492,noelnamai,2,"{'noelnamai/differential-expression-analysis', 'bzhanglab/neoflow'}"
522,ameynert,2,"{'ameynert/base-space-download-fastq-with-checksums', 'ameynert/bam2fastq'}"
370,jgolob,2,"{'jgolob/maliampi', 'Golob-Minot/geneshot'}"
387,Thomieh73,2,"{'NorwegianVeterinaryInstitute/Talos', 'NorwegianVeterinaryInstitute/Nepal'}"
477,myoshimura080822,2,"{'rikenbit/ramdaq', 'rikenbit/RamDAQ-prototype'}"
147,jherrero,2,"{'UCL-BLIC/wgsalign', 'UCL-BLIC/nf-ginkgo'}"
701,edg1983,2,"{'edg1983/NF_variant_annotation', 'edg1983/WGS_pipeline'}"
990,RenzoTale88,2,"{'RenzoTale88/nf-LO', 'evotools/nf-LO'}"
638,jeslipp,2,"{'ZuberLab/crispr-process-nf', 'ZuberLab/crispr-nf'}"
143,hseabolt,2,"{'nf-core/modules', 'CDCgov/mycosnp-nf'}"
703,bioinformatist,2,"{'likelet/circPipe', 'bioinformatist/nf-core-metaamplicon'}"
899,ralf-tambets,2,"{'eQTL-Catalogue/qtlmap', 'eQTL-Catalogue/genimpute'}"
71,saioruganti,2,"{'mmcogle/GEMmakerCam', 'SystemsGenetics/GEMmaker'}"
149,michaelbale,2,"{'michaelbale/JLab-ATACFlow', 'michaelbale/JLab-IPSeqFlow'}"
150,noirot,2,"{'nf-core/methylseq', 'FAANG/GSM-pipeline'}"
151,jimmyliu1326,2,"{'jimmyliu1326/tCANS', 'jimmyliu1326/SamnSero_Nextflow'}"
704,Sanger-ad7,2,"{'wtsi-hgi/eqtl', 'wtsi-hgi/associations'}"
159,anwarMZ,2,"{'anwarMZ/nf-upcoast-v', 'cidgoh/cidgoh_qc'}"
64,zmaas,2,"{'Dowell-Lab/RNAseq-Flow', 'Dowell-Lab/Nascent-Flow'}"
1036,rwtaylor,2,"{'rwtaylor/mpcr-analyses-pipelines', 'rwtaylor/nextflow-pipelines'}"
680,ramprasadn,2,"{'nf-core/raredisease', 'nf-core/modules'}"
600,lekhakaranam,2,"{'czbiohub/nextflow-tutorial-2019', 'czbiohub/nf-predictorthologs'}"
171,alexhbnr,2,"{'maxibor/madman', 'nf-core/eager'}"
54,Gustius,2,"{'Gustius/omics-analyser', 'Gustius/MOFA'}"
178,jamez-eh,2,"{'jamez-eh/nf-fh-pcp-wes-align', 'jamez-eh/nf-fh-pcp-wes-mutect2'}"
180,fredericlemoine,2,"{'evolbioinfo/gotree_usecase', 'evolbioinfo/booster-workflows'}"
47,viktorlj,2,"{'viktorlj/SarGet', 'viktorlj/SarekCLLPostProcess'}"
586,brentp,2,"{'Monia234/IARC-alignement', 'brentp/rare-disease-wf'}"
189,mohammedkhalfan,2,"{'gencorefacility/nf-workflows', 'gencorefacility/variant-calling-pipeline-gatk4'}"
190,iferres,2,"{'iferres/CSI-nf', 'microgenlab/porefile'}"
191,fanninpm,2,"{'usafsam/mad_river_wf', 'UPHL-BioNGS/Cecret'}"
1021,b600a,2,"{'b600a/tuber', 'CENMIG/snpplet'}"
609,ryanlayer,2,"{'javaidm/obsolete_layer_lab_caw', 'javaidm/layer_lab_dna_seq_vc'}"
135,praveenraj2018,2,"{'nf-core/modules', 'nf-core/rnavar'}"
1053,higsch,2,"{'higsch/togetherforever', 'nf-core/rnafusion'}"
1028,tiagofilipe12,2,"{'ielis/nextflow-example', 'tiagofilipe12/pATLAS-db-creation'}"
97,yuukiiwa,2,"{'nf-core/modules', 'nf-core/nanoseq'}"
98,gavinf97,2,"{'gavinf97/groupnextflow', 'gavinf97/Nextflow_AntiSMASH'}"
629,happykhan,2,"{'happykhan/nf-scripts', 'happykhan/nf-klebtest'}"
689,agahkarakuzu,2,"{'agahkarakuzu/mtsatflow', 'courtois-neuromod/anat-processing'}"
1015,louperelo,2,"{'nf-core/modules', 'louperelo/longmetarg'}"
1014,cwytko,2,"{'mmcogle/GEMmakerCam', 'SystemsGenetics/GEMmaker'}"
107,lkuchenb,2,"{'Leon-Bichmann/diaproteomics', 'nf-core/epitopeprediction'}"
625,erikwaskiewicz,2,"{'erikwaskiewicz/ctdna-project', 'erikwaskiewicz/bamsurgeon-nextflow'}"
110,rannick,2,"{'nf-core/raredisease', 'nf-core/modules'}"
624,tamara-hodgetts,2,"{'nf-core/modules', 'tamara-hodgetts/nf-atac-seq'}"
112,MiguelJulia,2,"{'rastiks/viralrecon', 'nf-core/viralrecon'}"
692,sarahbonnin,2,"{'biocorecrg/CoursesCRG_Containers_Nextflow_May_2021', 'biocorecrg/ELIXIR_containers_nextflow'}"
621,JPWerling,2,"{'Clinical-Genomics-Linkoping/gms-JASEN', 'genomic-medicine-sweden/JASEN'}"
686,sateeshperi,2,"{'nf-core/modules', 'CDCgov/mycosnp-nf'}"
119,suzannejin,2,"{'nf-core/modules', 'suzannejin/nf-proportionality'}"
685,dlemas,2,"{'GMS6804-master/YAMP', 'GMS6804-master/rnatoy'}"
90,t-f-freeman,2,"{'trev-f/SRAlign', 'trev-f/SRAtac'}"
684,mageshwarm,2,"{'mageshwarm/blast-example-magesh', 'mageshwarm/rnaseq-nf-magesh'}"
615,merszym,2,"{'mpieva/quicksand', 'mpieva/quicksand-build'}"
127,jvierstra,2,"{'jvierstra/nf-genotyping', 'jvierstra/nf-index'}"
84,aurelieGabriel,2,"{'IARCbioinfo/Imputation-nf', 'Monia234/IARC-imputation'}"
83,SannaAb,2,"{'SannaAb/Mutation_Calling', 'SannaAb/RNA_Seq_Pipe'}"
130,bhbhjs,2,"{'b600a/tuber', 'CENMIG/snpplet'}"
699,steepale,2,"{'steepale/wgsfastqtobam', 'steepale/nf-core-mutenrich'}"
634,matt-sd-watson,2,"{'matt-sd-watson/nextflow_misc', 'matt-sd-watson/nextflow_for_nextstrain'}"
955,DiegoBrambilla,2,"{'bioatlas/ampliflow', 'nf-core/ampliseq'}"
198,mjmansfi,2,"{'luslab/nf-core-denovohybrid', 'luslab/luslab-nf-modules'}"
1066,sivakhno,2,"{'lifebit-ai/DeepVariantWGS', 'lifebit-ai/DeepVariantTrain'}"
562,drbecavin,2,"{'becavin-lab/nf-rnaseq', 'becavin-lab/nf-blast'}"
203,seppinho,2,"{'askimed/nf-test-examples', 'genepi/nf-gwas'}"
13,vsoch,2,"{'marcodelapierre/demo-shpc-nf', 'GMS6804-master/rnatoy'}"
737,hirenbioinfo,2,"{'hirenbioinfo/Nanopipe', 'hirenbioinfo/nextflow_pipeline'}"
558,andricDu,2,"{'icgc-argo-workflows/nextflow-data-processing-utility-tools', 'icgc-argo-workflows/dna-seq-processing-wfs'}"
253,MSBradshaw,2,"{'javaidm/layer_lab_vc', 'ryanlayerlab/layer_lab_chco'}"
254,ffmmulder,2,"{'UMCUGenetics/sarek_ubec', 'UMCUGenetics/NextflowModules'}"
557,gf-atebbe,2,"{'goldfinchbio/sentieon-nextflow', 'goldfinchbio/gatk-nextflow'}"
1069,sidorov-si,2,"{'nf-core/modules', 'luslab/luslab-nf-modules'}"
256,vladsaveliev,2,"{'vladsaveliev/cawdor', 'vladsaveliev/umcaw'}"
258,LordRust,2,"{'Clinical-Genomics-Linkoping/gms-JASEN', 'genomic-medicine-sweden/JASEN'}"
916,andersgs,2,"{'nf-core/modules', 'MDU-PHL/kovid-trees-nf'}"
915,tobsecret,2,"{'tobsecret/covid19', 'tobsecret/BADAS_Nextflow_Tutorial'}"
264,fredjaya,2,"{'fredjaya/mutscape', 'fredjaya/msmc-nf'}"
912,rmcolq,2,"{'virus-evolution/phylopipe', 'COG-UK/datapipe'}"
10,rolivella,2,"{'elixir-cloud-proteomics-workflows/elixir_proteomics_QC', 'proteomicsunitcrg/qcloud2-pipeline'}"
1071,PeterBailey,2,"{'jiangfuqing/scrna-seq', 'nf-core/scrnaseq'}"
911,rmoran7,2,"{'rmoran7/dx_sarek', 'rmoran7/custom_sarek'}"
7,lukfor,2,"{'askimed/nf-test-examples', 'genepi/nf-gwas'}"
909,jerdra,2,"{'jerdra/BOONStim', 'jerdra/TIGR_PURR'}"
274,nhhaidee,2,"{'nhhaidee/scovtree', 'peterk87/phylogenetictree'}"
907,maallen3,2,"{'Dowell-Lab/RNAseq-Flow', 'Dowell-Lab/Nascent-Flow'}"
276,phelelani,2,"{'phelelani/nf-rnaSeqCount', 'phelelani/nf-rnaSeqMetagen'}"
554,BarryDigby,2,"{'BarryDigby/circ', 'BarryDigby/nextflow_bits'}"
551,sofsta,2,"{'Clinical-Genomics-Linkoping/gms-JASEN', 'genomic-medicine-sweden/JASEN'}"
902,Sebastian-D,2,"{'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO'}"
1075,ktrns,2,"{'rastiks/viralrecon', 'nf-core/viralrecon'}"
289,AGROSAVIABIOUNIT,2,"{'AGROSAVIABIOUNIT/MT', 'AGROSAVIABIOUNIT/nextflow_conda_cutadapt'}"
247,coraliegimonnet,2,"{'coraliegimonnet/ChIP-seq_pipeline', 'coraliegimonnet/BS-Seq_pipeline'}"
1020,ntoda03,2,"{'nf-core/modules', 'ntoda03/cycleassembler'}"
734,Shuaishuail-mun,2,"{'BioinformaticsLabAtMUN/sRNACharP-sRNARanking', 'BioinformaticsLabAtMUN/sRNA-Detect'}"
573,jchoude,2,"{'scilus/tractoflow-pve', 'scilus/tractoflow'}"
34,cguyomar,2,"{'cguyomar/nf-ase', 'FAANG/analysis-TAGADA'}"
950,ythaworn,2,"{'b600a/tuber', 'CENMIG/snpplet'}"
1057,carlo-berg,2,"{'Clinical-Genomics-Linkoping/gms-JASEN', 'genomic-medicine-sweden/JASEN'}"
674,sylvinite,2,"{'Clinical-Genomics-Linkoping/gms-JASEN', 'genomic-medicine-sweden/JASEN'}"
210,bokelund,2,"{'Clinical-Genomics-Linkoping/gms-JASEN', 'genomic-medicine-sweden/JASEN'}"
215,aersoares81,2,"{'NBISweden/pipelines-nextflow', 'NBISweden/Earth-Biogenome-Project-pilot'}"
216,pericsson,2,"{'nf-core/modules', 'nf-core/smrnaseq'}"
1060,ThiloSchulze,2,"{'ThiloSchulze/eukaryotic-genome-assembly', 'ThiloSchulze/orthology-inference'}"
944,hysteron,2,"{'Monia234/IARC-alignement', 'IARCbioinfo/table_annovar-nf'}"
231,peterwharrison,2,"{'FAANG/analysis-TAGADA', 'sguizard/isoseq'}"
26,BioWilko,2,"{'BioWilko/genotyping-pipeline', 'BioWilko/Papaya'}"
733,Puumanamana,2,"{'Puumanamana/nf-modules', 'hawaiidatascience/metaflowmics'}"
933,gongyh,2,"{'gongyh/nf-core-scp', 'gongyh/nf-core-scgs'}"
654,bozmik,2,"{'bhagesh-codebeast/nextflowdualrnaseq', 'nf-core/dualrnaseq'}"
24,sharma-shruti,2,"{'nf-modules/fastqc', 'nf-modules/trimmomatic'}"
653,telatin,2,"{'telatin/nextflow-example', 'NailouZhang/nf-core-virome'}"
672,sarahjeeeze,1,{'epi2me-labs/wf-transcript-target'}
673,shashidhar22,1,{'WarrenLabFH/viral_genomics'}
675,TatsuyaDaniel,1,{'Thomas-LeCoent/reprohackathon-bioinfo'}
667,cgroza,1,{'cgroza/nextflow_scripts'}
676,pwanj,1,{'GoalConsortium/goal_misc'}
779,GroundB,1,{'GroundB/RepeatDefeaters'}
683,ramadatta,1,{'ramadatta/nextflow'}
668,TeresaRubio,1,{'ConesaLab/TCR_nextflow'}
776,dembra96,1,{'zenomeplatform/nf-germline-mapping'}
775,BBJamge,1,{'BBJamge/bedtools_Danpos_NF'}
677,jennomics,1,{'jennomics/parallel-blast'}
769,ssnn-airr,1,{'ConesaLab/TCR_nextflow'}
773,RJ333,1,{'RJ333/calculate-functional-trees'}
671,andrewprzh,1,{'ablab/metaGT'}
679,idelim09,1,{'Irvibena/Groupe10_Hackaton'}
772,zlye,1,{'zlye/RVE'}
774,sinonkt,1,{'sinonkt/gemini-load-nf'}
743,friesac,1,{'usafsam/mad_river_wf'}
693,muffato,1,{'nf-core/modules'}
721,vmikk,1,{'telatin/nextflow-example'}
723,aduvermy,1,{'aduvermy/quantitative_nucleosome_analysis'}
724,aferriz,1,{'icgc-argo-workflows/icgc-argo-sv-copy-number'}
725,jgriss,1,{'bigbio/nf-workflows'}
726,sripaladugu,1,{'sripaladugu/nextflow_align'}
727,cflerin,1,{'vib-singlecell-nf/vsn-pipelines'}
728,husensofteng,1,{'bigbio/nf-workflows'}
729,Alexey-ebi,1,{'sguizard/isoseq'}
730,ecerami,1,{'ecerami/nextflow_sandbox'}
781,athbaltzis,1,{'athbaltzis/diff-AS-nf'}
732,BonaBeavis,1,{'BonaBeavis/nf-core-prototype'}
735,CENMIG,1,{'CENMIG/snpplet'}
736,ZandraFagernas,1,{'nf-core/eager'}
752,shaze,1,{'HadrienG/nanoflow'}
750,sc13-bioinf,1,{'nf-core/eager'}
748,gabiherman,1,{'jerdra/TIGR_PURR'}
747,schorlton,1,{'awilson0/bugseq-pipeline'}
738,b16joski,1,{'jkirangw/WORMpipe'}
739,MaxGreil,1,{'MaxGreil/sradcqc'}
740,jonasscheid,1,{'nf-core/epitopeprediction'}
741,SimonDMurray,1,{'SimonDMurray/DNA-pipeline'}
742,octavia-c,1,{'biomedbigdata/nf-core-circRNA-sponging'}
722,andrewmlynn,1,{'naveen584/nextflow-variantcalling'}
720,FloWuenne,1,{'nf-core/modules'}
768,fuxialexander,1,{'fuxialexander/nf-cojo'}
757,nick297,1,{'oxfordmmm/SARS-CoV2_workflows'}
695,phiweger,1,{'phiweger/isolate_pe'}
696,Mondale-tw,1,{'CommonMindConsortium/RAPiD-nf'}
697,mdziurzynski,1,{'DEMBresearch/rnaseq_qc'}
698,ntanh1999,1,{'ntanh1999/nextflow'}
767,rnharmening,1,{'rnharmening/nf-multipleReferenceMapper'}
766,scarlhoff,1,{'nf-core/eager'}
765,kstawiski,1,{'nf-core/smrnaseq'}
764,josephhalstead,1,{'josephhalstead/nextflow_small_germline_panel'}
702,asadprodhan,1,{'asadprodhan/How-to-run-Kraken2-on-HPC-using-Singularity-container-and-Nextflow'}
763,Thomas-LeCoent,1,{'Thomas-LeCoent/reprohackathon-bioinfo'}
705,fminneci,1,{'genomicsengland/minimal_subset_genomic_dataset'}
762,batson,1,{'czbiohub/sc2-illumina-pipeline'}
761,thomcuddihy,1,{'Vikash84/micropipe'}
709,Lcornet,1,{'Lcornet/ORPER'}
710,calkan,1,{'calkan/TARDIS-CRAM-NextFlow'}
712,Jokendo-collab,1,{'Jokendo-collab/MS_database_search'}
759,rene-janssen,1,{'RJ333/calculate-functional-trees'}
713,aleks96n,1,{'aleks96n/BioInfoKallisto'}
715,rubenchazarra,1,{'ebi-gene-expression-group/cell-types-eval-control-workflow-cross-validation'}
716,michael-ta,1,{'michael-ta/longitudinal-GWAS-pipeline'}
719,GuilleGorines,1,{'GuilleGorines/nfcore-pikavirus-legacy'}
0,bj8th,1,{'sheynkman-lab/IsoSeq-Nextflow'}
874,lilu-martin,1,{'bbi-lab/bbi-sci'}
782,aldembert,1,{'lifebit-ai/relate'}
987,razielar,1,{'razielar/lncRNA_annotation_cufflinks_nf'}
976,haqle314,1,{'PlantGGHLab/qiime2-nf'}
977,jashapiro,1,{'AlexsLemonade/scpca-nf'}
978,lbresadola,1,{'TRON-Bioinformatics/tronflow-bam-preprocessing'}
979,nathanhaigh,1,{'sagc-bioinformatics/modules'}
980,SimiliSerpent,1,{'Irvibena/Groupe10_Hackaton'}
982,JezSw,1,{'oxfordmmm/SARS-CoV2_workflows'}
